direction,is_congested,weather,temp,rain_mm,humidity,visibility,day_of_week,is_holiday,is_rush_hour,adverse_weather_score,rush_weather_interaction
0,0,3,30.0,0.5,70.28,9000.0,0,0,0,1,0
1,0,3,30.0,0.5,70.28,9000.0,0,0,0,1,0
0,0,3,33.0,1.0,55.79,10000.0,0,0,0,1,0
1,0,3,33.0,1.0,55.79,10000.0,0,0,0,1,0
0,0,3,32.0,0.5,59.03,10000.0,0,0,1,1,1
1,0,3,32.0,0.5,59.03,10000.0,0,0,1,1,1
0,1,2,30.0,0.2,70.28,10000.0,0,0,1,1,1
1,1,2,30.0,0.2,70.28,10000.0,0,0,1,1,1
0,0,0,28.0,0.0,83.78,10000.0,0,0,0,0,0
1,0,0,28.0,0.0,83.78,10000.0,0,0,0,0,0
0,0,0,27.0,0.0,83.67,10000.0,0,0,0,0,0
1,0,0,27.0,0.0,83.67,10000.0,0,0,0,0,0
0,0,1,24.0,0.0,83.33,10000.0,6,0,0,0,0
1,0,1,24.0,0.0,83.33,10000.0,6,0,0,0,0
0,0,1,24.0,0.0,88.6,6000.0,6,0,1,0,0
1,0,1,24.0,0.0,88.6,6000.0,6,0,1,0,0
0,0,1,24.0,0.0,88.6,6000.0,6,0,1,0,0
1,0,1,24.0,0.0,88.6,6000.0,6,0,1,0,0
0,0,1,27.0,0.0,65.55,10000.0,6,0,0,0,0
1,0,1,27.0,0.0,65.55,10000.0,6,0,0,0,0
0,0,1,27.0,0.0,65.55,10000.0,6,0,0,0,0
1,0,1,27.0,0.0,65.55,10000.0,6,0,0,0,0
0,0,2,28.0,0.0,69.91,10000.0,6,0,0,0,0
1,0,2,28.0,0.0,69.91,10000.0,6,0,0,0,0
0,1,2,27.0,0.0,78.77,9000.0,6,0,1,0,0
1,0,2,27.0,0.0,78.77,9000.0,6,0,1,0,0
0,1,2,27.0,0.0,78.77,9000.0,6,0,1,0,0
1,1,2,27.0,0.0,78.77,9000.0,6,0,1,0,0
0,0,1,26.0,0.0,78.63,10000.0,6,0,0,0,0
1,0,1,26.0,0.0,78.63,10000.0,6,0,0,0,0
0,0,3,25.0,0.5,88.68,10000.0,6,0,0,1,0
1,0,3,25.0,0.5,88.68,10000.0,6,0,0,1,0
0,0,1,25.0,0.1,88.68,10000.0,5,0,0,1,0
1,0,1,25.0,0.1,88.68,10000.0,5,0,0,1,0
0,0,2,26.0,0.1,69.54,10000.0,5,0,1,1,1
1,0,2,26.0,0.1,69.54,10000.0,5,0,1,1,1
0,0,2,26.0,0.1,69.54,10000.0,5,0,1,1,1
1,0,2,26.0,0.1,69.54,10000.0,5,0,1,1,1
0,1,2,27.0,0.2,65.55,10000.0,5,0,0,1,0
1,0,2,27.0,0.2,65.55,10000.0,5,0,0,1,0
0,1,3,26.0,0.7,69.54,10000.0,5,0,0,1,0
1,0,3,26.0,0.7,69.54,10000.0,5,0,0,1,0
0,1,1,27.0,0.1,74.13,10000.0,5,0,0,1,0
1,0,1,27.0,0.1,74.13,10000.0,5,0,0,1,0
0,1,1,27.0,0.0,74.13,10000.0,5,0,1,0,0
1,1,1,27.0,0.0,74.13,10000.0,5,0,1,0,0
0,1,1,26.0,0.0,78.63,10000.0,5,0,1,0,0
1,1,1,26.0,0.0,78.63,10000.0,5,0,1,0,0
0,0,1,25.0,0.0,83.45,9000.0,5,0,0,0,0
1,0,1,25.0,0.0,83.45,9000.0,5,0,0,0,0
0,0,2,25.0,0.0,88.68,7000.0,5,0,0,0,0
1,0,2,25.0,0.0,88.68,7000.0,5,0,0,0,0
0,0,2,23.0,0.2,100.0,7000.0,4,0,0,1,0
1,0,2,23.0,0.2,100.0,7000.0,4,0,0,1,0
0,0,3,24.0,7.9,94.15,3000.0,4,0,1,2,2
1,0,3,24.0,7.9,94.15,3000.0,4,0,1,2,2
0,0,3,24.0,7.9,94.15,3000.0,4,0,1,2,2
1,0,3,24.0,7.9,94.15,3000.0,4,0,1,2,2
0,0,2,27.0,0.1,88.83,9000.0,4,0,0,1,0
1,0,2,27.0,0.1,88.83,9000.0,4,0,0,1,0
0,0,1,27.0,0.0,88.83,7000.0,4,0,0,0,0
1,0,1,27.0,0.0,88.83,7000.0,4,0,0,0,0
0,0,2,30.0,0.1,66.17,10000.0,4,0,0,1,0
1,0,2,30.0,0.1,66.17,10000.0,4,0,0,1,0
0,1,2,30.0,0.0,66.17,10000.0,4,0,1,0,0
1,0,2,30.0,0.0,66.17,10000.0,4,0,1,0,0
0,1,1,29.0,0.0,70.1,10000.0,4,0,1,0,0
1,1,1,29.0,0.0,70.1,10000.0,4,0,1,0,0
0,0,1,27.0,0.0,78.77,10000.0,4,0,0,0,0
1,0,1,27.0,0.0,78.77,10000.0,4,0,0,0,0
0,0,2,26.0,0.2,83.56,10000.0,4,0,0,1,0
1,0,2,26.0,0.2,83.56,10000.0,4,0,0,1,0
0,0,1,26.0,0.0,94.23,10000.0,3,0,0,0,0
1,0,1,26.0,0.0,94.23,10000.0,3,0,0,0,0
0,0,1,27.0,0.1,88.83,9000.0,3,0,1,1,1
1,0,1,27.0,0.1,88.83,9000.0,3,0,1,1,1
0,1,1,27.0,0.1,88.83,9000.0,3,0,1,1,1
1,1,1,27.0,0.1,88.83,9000.0,3,0,1,1,1
0,0,2,29.0,0.2,79.05,10000.0,3,0,0,1,0
1,0,2,29.0,0.2,79.05,10000.0,3,0,0,1,0
0,0,3,29.0,0.5,79.05,10000.0,3,0,0,1,0
1,0,3,29.0,0.5,79.05,10000.0,3,0,0,1,0
0,0,3,32.0,0.3,66.57,10000.0,3,0,0,1,0
1,0,3,32.0,0.3,66.57,10000.0,3,0,0,1,0
0,0,2,32.0,0.1,70.65,10000.0,3,0,1,1,1
1,0,2,32.0,0.1,70.65,10000.0,3,0,1,1,1
0,1,2,30.0,0.1,79.19,10000.0,3,0,1,1,1
1,1,2,30.0,0.1,79.19,10000.0,3,0,1,1,1
0,0,2,28.0,0.1,83.78,10000.0,3,0,0,1,0
1,0,2,28.0,0.1,83.78,10000.0,3,0,0,1,0
0,0,3,28.0,0.6,83.78,10000.0,3,0,0,1,0
1,0,3,28.0,0.6,83.78,10000.0,3,0,0,1,0
0,0,2,24.0,0.0,94.15,6000.0,2,0,0,0,0
1,0,2,24.0,0.0,94.15,6000.0,2,0,0,0,0
0,0,1,25.0,0.0,94.19,6000.0,2,0,1,0,0
1,1,1,25.0,0.0,94.19,6000.0,2,0,1,0,0
0,1,1,25.0,0.0,94.19,6000.0,2,0,1,0,0
1,1,1,25.0,0.0,94.19,6000.0,2,0,1,0,0
0,0,1,28.0,0.0,74.29,10000.0,2,0,0,0,0
1,0,1,28.0,0.0,74.29,10000.0,2,0,0,0,0
0,0,2,31.0,0.0,66.37,10000.0,2,0,0,0,0
1,0,2,31.0,0.0,66.37,10000.0,2,0,0,0,0
0,0,2,31.0,0.0,66.37,10000.0,2,0,0,0,0
1,0,2,31.0,0.0,66.37,10000.0,2,0,0,0,0
0,0,2,30.0,0.0,70.28,10000.0,2,0,1,0,0
1,0,2,30.0,0.0,70.28,10000.0,2,0,1,0,0
0,1,2,30.0,0.0,70.28,10000.0,2,0,1,0,0
1,1,2,30.0,0.0,70.28,10000.0,2,0,1,0,0
0,0,2,27.0,0.0,83.67,10000.0,2,0,0,0,0
1,0,2,27.0,0.0,83.67,10000.0,2,0,0,0,0
0,0,1,27.0,0.0,83.67,10000.0,2,0,0,0,0
1,0,1,27.0,0.0,83.67,10000.0,2,0,0,0,0
0,0,2,23.0,0.0,83.22,10000.0,1,0,0,0,0
1,0,2,23.0,0.0,83.22,10000.0,1,0,0,0,0
0,0,1,24.0,0.0,78.35,6000.0,1,0,1,0,0
1,1,1,24.0,0.0,78.35,6000.0,1,0,1,0,0
0,1,1,24.0,0.0,78.35,6000.0,1,0,1,0,0
1,1,1,24.0,0.0,78.35,6000.0,1,0,1,0,0
0,0,2,28.0,0.0,65.76,10000.0,1,0,0,0,0
1,0,2,28.0,0.0,65.76,10000.0,1,0,0,0,0
0,0,2,30.0,0.0,58.57,10000.0,1,0,0,0,0
1,0,2,30.0,0.0,58.57,10000.0,1,0,0,0,0
0,0,2,31.0,0.0,55.31,10000.0,1,0,0,0,0
1,0,2,31.0,0.0,55.31,10000.0,1,0,0,0,0
0,1,2,31.0,0.0,58.8,10000.0,1,0,1,0,0
1,0,2,31.0,0.0,58.8,10000.0,1,0,1,0,0
0,1,2,31.0,0.0,55.31,10000.0,1,0,1,0,0
1,0,2,31.0,0.0,55.31,10000.0,1,0,1,0,0
0,0,2,28.0,0.0,69.91,10000.0,1,0,0,0,0
1,0,2,28.0,0.0,69.91,10000.0,1,0,0,0,0
0,0,2,26.0,0.0,78.63,10000.0,1,0,0,0,0
1,0,2,26.0,0.0,78.63,10000.0,1,0,0,0,0
0,0,3,19.0,2.2,93.93,5000.0,0,0,0,1,0
1,0,3,19.0,2.2,93.93,5000.0,0,0,0,1,0
0,1,3,21.0,0.4,77.91,10000.0,0,0,1,1,1
1,1,3,21.0,0.4,77.91,10000.0,0,0,1,1,1
0,1,3,21.0,0.4,77.91,10000.0,0,0,1,1,1
1,1,3,21.0,0.4,77.91,10000.0,0,0,1,1,1
0,0,2,24.0,0.0,69.15,10000.0,0,0,0,0,0
1,0,2,24.0,0.0,69.15,10000.0,0,0,0,0,0
0,0,1,27.0,0.0,50.97,10000.0,0,0,0,0,0
1,0,1,27.0,0.0,50.97,10000.0,0,0,0,0,0
0,0,1,29.0,0.0,51.49,10000.0,0,0,0,0,0
1,0,1,29.0,0.0,51.49,10000.0,0,0,0,0,0
0,0,2,28.0,0.0,54.57,10000.0,0,0,1,0,0
1,0,2,28.0,0.0,54.57,10000.0,0,0,1,0,0
0,1,2,28.0,0.0,58.1,10000.0,0,0,1,0,0
1,1,2,28.0,0.0,58.1,10000.0,0,0,1,0,0
0,0,2,26.0,0.0,69.54,10000.0,0,0,0,0,0
1,0,2,26.0,0.0,69.54,10000.0,0,0,0,0,0
0,0,2,25.0,0.0,73.79,10000.0,0,0,0,0,0
1,0,2,25.0,0.0,73.79,10000.0,0,0,0,0,0
0,0,2,23.0,0.0,94.1,9000.0,6,0,0,0,0
1,0,2,23.0,0.0,94.1,9000.0,6,0,0,0,0
0,0,1,23.0,0.0,94.1,4000.0,6,0,1,0,0
1,0,1,23.0,0.0,94.1,4000.0,6,0,1,0,0
0,0,1,23.0,0.0,94.1,4000.0,6,0,1,0,0
1,0,1,23.0,0.0,94.1,4000.0,6,0,1,0,0
0,0,3,24.0,0.3,94.15,5000.0,6,0,0,1,0
1,0,3,24.0,0.3,94.15,5000.0,6,0,0,1,0
0,0,3,25.0,0.7,94.19,10000.0,6,0,0,1,0
1,0,3,25.0,0.7,94.19,10000.0,6,0,0,1,0
0,0,3,28.0,3.3,74.29,10000.0,6,0,0,1,0
1,0,3,28.0,3.3,74.29,10000.0,6,0,0,1,0
0,1,2,28.0,0.2,74.29,10000.0,6,0,1,1,1
1,0,2,28.0,0.2,74.29,10000.0,6,0,1,1,1
0,1,2,28.0,0.1,74.29,10000.0,6,0,1,1,1
1,1,2,28.0,0.1,74.29,10000.0,6,0,1,1,1
0,0,3,24.0,2.3,83.33,10000.0,6,0,0,1,0
1,0,3,24.0,2.3,83.33,10000.0,6,0,0,1,0
0,0,3,23.0,1.9,83.22,10000.0,6,0,0,1,0
1,0,3,23.0,1.9,83.22,10000.0,6,0,0,1,0
0,0,2,24.0,0.0,88.6,10000.0,5,0,0,0,0
1,0,2,24.0,0.0,88.6,10000.0,5,0,0,0,0
0,0,1,25.0,0.0,88.68,7000.0,5,0,1,0,0
1,0,1,25.0,0.0,88.68,7000.0,5,0,1,0,0
0,0,1,25.0,0.0,88.68,7000.0,5,0,1,0,0
1,0,1,25.0,0.0,88.68,7000.0,5,0,1,0,0
0,1,2,29.0,0.0,65.97,10000.0,5,0,0,0,0
1,0,2,29.0,0.0,65.97,10000.0,5,0,0,0,0
0,1,2,30.0,0.0,66.17,10000.0,5,0,0,0,0
1,0,2,30.0,0.0,66.17,10000.0,5,0,0,0,0
0,1,2,31.0,0.0,66.37,10000.0,5,0,0,0,0
1,0,2,31.0,0.0,66.37,10000.0,5,0,0,0,0
0,1,2,31.0,0.2,66.37,10000.0,5,0,1,1,1
1,1,2,31.0,0.2,66.37,10000.0,5,0,1,1,1
0,1,2,30.0,0.0,70.28,10000.0,5,0,1,0,0
1,1,2,30.0,0.0,70.28,10000.0,5,0,1,0,0
0,0,2,26.0,0.0,94.23,10000.0,5,0,0,0,0
1,0,2,26.0,0.0,94.23,10000.0,5,0,0,0,0
0,0,2,24.0,0.0,94.15,10000.0,5,0,0,0,0
1,0,2,24.0,0.0,94.15,10000.0,5,0,0,0,0
0,0,2,22.0,0.0,88.43,10000.0,4,1,0,0,0
1,0,2,22.0,0.0,88.43,10000.0,4,1,0,0,0
0,0,2,23.0,0.0,83.22,10000.0,4,1,1,0,0
1,0,2,23.0,0.0,83.22,10000.0,4,1,1,0,0
0,0,2,23.0,0.0,83.22,10000.0,4,1,1,0,0
1,0,2,23.0,0.0,83.22,10000.0,4,1,1,0,0
0,0,2,27.0,0.0,61.6,10000.0,4,1,0,0,0
1,0,2,27.0,0.0,61.6,10000.0,4,1,0,0,0
0,0,2,28.0,0.0,58.1,10000.0,4,1,0,0,0
1,0,2,28.0,0.0,58.1,10000.0,4,1,0,0,0
0,0,2,29.0,0.0,58.34,10000.0,4,1,0,0,0
1,0,2,29.0,0.0,58.34,10000.0,4,1,0,0,0
0,1,2,29.0,0.0,58.34,10000.0,4,1,1,0,0
1,0,2,29.0,0.0,58.34,10000.0,4,1,1,0,0
0,1,2,28.0,0.0,65.76,10000.0,4,1,1,0,0
1,1,2,28.0,0.0,65.76,10000.0,4,1,1,0,0
0,0,2,25.0,0.0,78.49,10000.0,4,1,0,0,0
1,0,2,25.0,0.0,78.49,10000.0,4,1,0,0,0
0,0,2,25.0,0.0,83.45,10000.0,4,1,0,0,0
1,0,2,25.0,0.0,83.45,10000.0,4,1,0,0,0
0,0,0,23.0,0.0,68.97,10000.0,3,1,0,0,0
1,0,0,23.0,0.0,68.97,10000.0,3,1,0,0,0
0,0,0,23.0,0.0,60.7,10000.0,3,1,1,0,0
1,0,0,23.0,0.0,60.7,10000.0,3,1,1,0,0
0,1,0,23.0,0.0,60.7,10000.0,3,1,1,0,0
1,1,0,23.0,0.0,60.7,10000.0,3,1,1,0,0
0,0,0,26.4,0.0,46.25,10000.0,3,1,0,0,0
1,0,0,26.4,0.0,46.25,10000.0,3,1,0,0,0
0,0,0,27.0,0.0,50.99,10000.0,3,1,0,0,0
1,0,0,27.0,0.0,50.99,10000.0,3,1,0,0,0
0,0,0,28.0,0.0,51.25,10000.0,3,1,0,0,0
1,0,0,28.0,0.0,51.25,10000.0,3,1,0,0,0
0,0,0,28.3,0.0,48.14,10000.0,3,1,1,0,0
1,0,0,28.3,0.0,48.14,10000.0,3,1,1,0,0
0,1,0,28.0,0.0,48.09,10000.0,3,1,1,0,0
1,1,0,28.0,0.0,48.09,10000.0,3,1,1,0,0
0,0,0,26.0,0.0,57.63,10000.0,3,1,0,0,0
1,0,0,26.0,0.0,57.63,10000.0,3,1,0,0,0
0,0,0,25.0,0.0,69.36,10000.0,3,1,0,0,0
1,0,0,25.0,0.0,69.36,10000.0,3,1,0,0,0
0,0,3,26.0,2.1,88.76,7000.0,2,0,0,1,0
1,0,3,26.0,2.1,88.76,7000.0,2,0,0,1,0
0,0,0,22.5,0.0,79.83,10000.0,2,0,1,0,0
1,1,0,22.5,0.0,79.83,10000.0,2,0,1,0,0
0,1,0,22.5,0.0,79.83,10000.0,2,0,1,0,0
1,1,0,22.5,0.0,79.83,10000.0,2,0,1,0,0
0,0,0,23.4,0.0,75.05,10000.0,2,0,0,0,0
1,0,0,23.4,0.0,75.05,10000.0,2,0,0,0,0
0,0,2,26.0,0.0,69.55,10000.0,2,0,0,0,0
1,0,2,26.0,0.0,69.55,10000.0,2,0,0,0,0
0,0,2,29.0,0.0,54.83,10000.0,2,0,0,0,0
1,0,2,29.0,0.0,54.83,10000.0,2,0,0,0,0
0,0,0,29.2,0.0,48.22,10000.0,2,0,1,0,0
1,0,0,29.2,0.0,48.22,10000.0,2,0,1,0,0
0,1,0,29.0,0.0,51.5,10000.0,2,0,1,0,0
1,1,0,29.0,0.0,51.5,10000.0,2,0,1,0,0
0,0,0,25.0,0.0,69.36,10000.0,2,0,0,0,0
1,0,0,25.0,0.0,69.36,10000.0,2,0,0,0,0
0,0,0,25.6,0.0,61.87,10000.0,2,0,0,0,0
1,0,0,25.6,0.0,61.87,10000.0,2,0,0,0,0
0,0,2,24.0,0.0,94.15,7000.0,1,0,0,0,0
1,0,2,24.0,0.0,94.15,7000.0,1,0,0,0,0
0,0,0,25.3,0.0,92.34,3000.0,1,0,1,0,0
1,1,0,25.3,0.0,92.34,3000.0,1,0,1,0,0
0,1,0,25.3,0.0,92.34,3000.0,1,0,1,0,0
1,1,0,25.3,0.0,92.34,3000.0,1,0,1,0,0
0,0,0,28.0,0.0,74.3,10000.0,1,0,0,0,0
1,0,0,28.0,0.0,74.3,10000.0,1,0,0,0,0
0,0,0,30.0,0.2,70.29,10000.0,1,0,0,1,0
1,0,0,30.0,0.2,70.29,10000.0,1,0,0,1,0
0,0,0,34.0,0.0,46.71,10000.0,1,0,0,0,0
1,0,0,34.0,0.0,46.71,10000.0,1,0,0,0,0
0,1,0,33.5,0.0,46.45,10000.0,1,0,1,0,0
1,0,0,33.5,0.0,46.45,10000.0,1,0,1,0,0
0,1,0,32.0,0.0,66.58,10000.0,1,0,1,0,0
1,0,0,32.0,0.0,66.58,10000.0,1,0,1,0,0
0,0,0,29.0,0.0,79.06,10000.0,1,0,0,0,0
1,0,0,29.0,0.0,79.06,10000.0,1,0,0,0,0
0,0,0,27.0,0.0,83.68,10000.0,1,0,0,0,0
1,0,0,27.0,0.0,83.68,10000.0,1,0,0,0,0
0,0,0,24.0,0.0,100.0,5000.0,0,1,0,0,0
1,0,0,24.0,0.0,100.0,5000.0,0,1,0,0,0
0,1,0,24.3,0.1,92.82,3000.0,0,1,1,1,1
1,1,0,24.3,0.1,92.82,3000.0,0,1,1,1,1
0,1,0,24.3,0.1,92.82,3000.0,0,1,1,1,1
1,1,0,24.3,0.1,92.82,3000.0,0,1,1,1,1
0,0,0,29.0,0.1,70.12,10000.0,0,1,0,1,0
1,0,0,29.0,0.1,70.12,10000.0,0,1,0,1,0
0,0,2,30.0,0.1,62.28,10000.0,0,1,0,1,0
1,0,2,30.0,0.1,62.28,10000.0,0,1,0,1,0
0,0,2,33.0,0.1,55.81,10000.0,0,1,0,1,0
1,0,2,33.0,0.1,55.81,10000.0,0,1,0,1,0
0,0,0,31.8,0.2,59.36,10000.0,0,1,1,1,1
1,0,0,31.8,0.2,59.36,10000.0,0,1,1,1,1
0,1,2,31.0,0.0,66.38,10000.0,0,1,1,0,0
1,1,2,31.0,0.0,66.38,10000.0,0,1,1,0,0
0,0,0,22.0,0.0,94.06,10000.0,0,1,0,0,0
1,0,0,22.0,0.0,94.06,10000.0,0,1,0,0,0
0,0,0,23.0,0.0,94.11,10000.0,0,1,0,0,0
1,0,0,23.0,0.0,94.11,10000.0,0,1,0,0,0
0,0,0,23.0,0.0,88.52,6000.0,6,1,0,0,0
1,0,0,23.0,0.0,88.52,6000.0,6,1,0,0,0
0,0,0,24.2,0.0,85.02,5000.0,6,1,1,0,0
1,0,0,24.2,0.0,85.02,5000.0,6,1,1,0,0
0,0,0,24.2,0.0,85.02,5000.0,6,1,1,0,0
1,0,0,24.2,0.0,85.02,5000.0,6,1,1,0,0
0,0,0,28.0,0.0,61.84,10000.0,6,1,0,0,0
1,0,0,28.0,0.0,61.84,10000.0,6,1,0,0,0
0,0,0,28.0,0.0,65.77,10000.0,6,1,0,0,0
1,0,0,28.0,0.0,65.77,10000.0,6,1,0,0,0
0,0,2,28.0,0.2,69.92,10000.0,6,1,0,1,0
1,0,2,28.0,0.2,69.92,10000.0,6,1,0,1,0
0,1,3,27.0,0.5,74.14,10000.0,6,1,1,1,1
1,0,3,27.0,0.5,74.14,10000.0,6,1,1,1,1
0,1,2,27.0,0.1,74.14,8000.0,6,1,1,1,1
1,1,2,27.0,0.1,74.14,8000.0,6,1,1,1,1
0,0,2,25.0,0.0,88.68,4000.0,6,1,0,0,0
1,0,2,25.0,0.0,88.68,4000.0,6,1,0,0,0
0,0,0,24.9,0.0,88.65,5000.0,6,1,0,0,0
1,0,0,24.9,0.0,88.65,5000.0,6,1,0,0,0
0,0,0,24.0,0.0,83.34,9000.0,5,0,0,0,0
1,0,0,24.0,0.0,83.34,9000.0,5,0,0,0,0
0,0,0,23.8,0.0,90.25,6000.0,5,0,1,0,0
1,0,0,23.8,0.0,90.25,6000.0,5,0,1,0,0
0,0,0,23.8,0.0,90.25,6000.0,5,0,1,0,0
1,0,0,23.8,0.0,90.25,6000.0,5,0,1,0,0
0,1,0,27.5,0.1,68.08,10000.0,5,0,0,1,0
1,0,0,27.5,0.1,68.08,10000.0,5,0,0,1,0
0,1,0,29.0,0.0,58.35,10000.0,5,0,0,0,0
1,0,0,29.0,0.0,58.35,10000.0,5,0,0,0,0
0,1,0,30.0,0.0,58.58,10000.0,5,0,0,0,0
1,0,0,30.0,0.0,58.58,10000.0,5,0,0,0,0
0,1,0,30.0,0.0,55.08,10000.0,5,0,1,0,0
1,1,0,30.0,0.0,55.08,10000.0,5,0,1,0,0
0,1,2,30.0,0.0,58.58,10000.0,5,0,1,0,0
1,1,2,30.0,0.0,58.58,10000.0,5,0,1,0,0
0,0,0,28.0,0.0,65.77,7000.0,5,0,0,0,0
1,0,0,28.0,0.0,65.77,7000.0,5,0,0,0,0
0,0,0,25.6,0.0,81.23,8000.0,5,0,0,0,0
1,0,0,25.6,0.0,81.23,8000.0,5,0,0,0,0
0,0,3,22.0,2.2,94.06,3000.0,4,0,0,1,0
1,0,3,22.0,2.2,94.06,3000.0,4,0,0,1,0
0,0,3,22.6,0.9,87.64,10000.0,4,0,1,1,1
1,0,3,22.6,0.9,87.64,10000.0,4,0,1,1,1
0,0,3,22.6,0.9,87.64,10000.0,4,0,1,1,1
1,0,3,22.6,0.9,87.64,10000.0,4,0,1,1,1
0,0,2,25.0,0.1,69.36,10000.0,4,0,0,1,0
1,0,2,25.0,0.1,69.36,10000.0,4,0,0,1,0
0,0,2,28.0,0.0,61.84,10000.0,4,0,0,0,0
1,0,2,28.0,0.0,61.84,10000.0,4,0,0,0,0
0,0,2,28.0,0.0,65.77,10000.0,4,0,0,0,0
1,0,2,28.0,0.0,65.77,10000.0,4,0,0,0,0
0,1,0,27.1,0.0,67.38,10000.0,4,0,1,0,0
1,0,0,27.1,0.0,67.38,10000.0,4,0,1,0,0
0,1,2,27.0,0.1,65.56,10000.0,4,0,1,1,1
1,1,2,27.0,0.1,65.56,10000.0,4,0,1,1,1
0,0,2,26.0,0.0,69.55,10000.0,4,0,0,0,0
1,0,2,26.0,0.0,69.55,10000.0,4,0,0,0,0
0,0,0,25.1,0.0,82.56,10000.0,4,0,0,0,0
1,0,0,25.1,0.0,82.56,10000.0,4,0,0,0,0
0,0,0,24.0,0.1,94.15,10000.0,3,0,0,1,0
1,0,0,24.0,0.1,94.15,10000.0,3,0,0,1,0
0,0,3,24.1,0.3,90.05,10000.0,3,0,1,1,1
1,0,3,24.1,0.3,90.05,10000.0,3,0,1,1,1
0,1,3,24.1,0.3,90.05,10000.0,3,0,1,1,1
1,1,3,24.1,0.3,90.05,10000.0,3,0,1,1,1
0,0,3,23.3,2.4,77.05,10000.0,3,0,0,1,0
1,0,3,23.3,2.4,77.05,10000.0,3,0,0,1,0
0,0,3,26.0,1.8,65.36,10000.0,3,0,0,1,0
1,0,3,26.0,1.8,65.36,10000.0,3,0,0,1,0
0,0,0,27.0,0.0,57.87,10000.0,3,0,0,0,0
1,0,0,27.0,0.0,57.87,10000.0,3,0,0,0,0
0,0,2,28.0,0.0,58.11,10000.0,3,0,1,0,0
1,0,2,28.0,0.0,58.11,10000.0,3,0,1,0,0
0,1,2,26.0,0.1,65.36,10000.0,3,0,1,1,1
1,1,2,26.0,0.1,65.36,10000.0,3,0,1,1,1
0,0,2,25.0,0.0,69.36,10000.0,3,0,0,0,0
1,0,2,25.0,0.0,69.36,10000.0,3,0,0,0,0
0,0,2,25.0,0.0,73.8,10000.0,3,0,0,0,0
1,0,2,25.0,0.0,73.8,10000.0,3,0,0,0,0
